number,state,createdAt,mergedAt,closedAt,title,bodyText,changedFiles,additions,deletions,comments,participants,reviews,repository,duration_hours
10,MERGED,2017-03-09T10:50:34Z,2017-03-10T00:36:12Z,2017-03-10T00:36:12Z,Fix typo in Study Guide section,"A small fix to change to drop the ""a"" in ""solving a many interview questions"".",1,2,2,{'totalCount': 1},{'totalCount': 2},{'totalCount': 1},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",13.760555555555555
11,MERGED,2017-03-09T14:21:29Z,2017-03-10T00:37:40Z,2017-03-10T00:37:40Z,Fix typo - lobsided -> lopsided,,1,1,1,{'totalCount': 1},{'totalCount': 2},{'totalCount': 1},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",10.269722222222223
13,MERGED,2017-03-10T04:30:56Z,2017-03-11T02:07:51Z,2017-03-11T02:07:51Z,Add Dyn DDoS attack link,#12,1,1,1,{'totalCount': 1},{'totalCount': 2},{'totalCount': 1},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",21.615277777777777
14,MERGED,2017-03-10T07:53:56Z,2017-03-11T02:06:35Z,2017-03-11T02:06:35Z,Fix multiple typos,,1,8,8,{'totalCount': 1},{'totalCount': 3},{'totalCount': 1},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",18.210833333333333
23,MERGED,2017-03-16T22:49:05Z,2017-03-19T19:23:03Z,2017-03-19T19:23:03Z,Fix #6: Migrate links from exercises/solutions to use internal links,"Changed the links in the main README and in the readme files inside solutions/ to address #6.
Skipped the links from the files inside solutions/ to the main readme, so that they won't break if the directory structure change.",8,35,35,{'totalCount': 2},{'totalCount': 2},{'totalCount': 1},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",68.56611111111111
24,MERGED,2017-03-18T04:17:42Z,2017-03-18T15:37:17Z,2017-03-18T15:37:17Z,"Delete duplicate word ""does"" in design exercises",,3,3,3,{'totalCount': 1},{'totalCount': 2},{'totalCount': 1},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",11.32638888888889
25,MERGED,2017-03-18T16:45:40Z,2017-03-19T19:24:13Z,2017-03-19T19:24:13Z,Fix typo JSS -> JS,"Under CDN section, change JSS to JS",1,1,1,{'totalCount': 1},{'totalCount': 2},{'totalCount': 1},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",26.6425
26,MERGED,2017-03-19T22:54:10Z,2017-03-21T11:39:11Z,2017-03-21T11:39:11Z,Declare variable key in the get_user example,"As the variable key is not defined, the example could generate a little of confusion in my opinion.
If we don't want to add more complexity using format(), we should be also able to just do key = ""user.{user_id}.",1,1,0,{'totalCount': 1},{'totalCount': 2},{'totalCount': 1},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",36.750277777777775
29,MERGED,2017-03-22T16:44:21Z,2017-03-23T02:53:16Z,2017-03-23T02:53:16Z,Fix typo,,1,1,1,{'totalCount': 1},{'totalCount': 3},{'totalCount': 2},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",10.14861111111111
33,MERGED,2017-03-23T22:30:10Z,2017-03-24T02:42:03Z,2017-03-24T02:42:03Z,Fix typos,,1,2,2,{'totalCount': 1},{'totalCount': 2},{'totalCount': 1},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",4.198055555555555
34,CLOSED,2017-03-24T11:32:50Z,,2017-03-26T17:02:10Z,change the service discovery documenation example to use consul/etcd,"Suggested path of #31
Update to used consul/etcd as examples of service discovery",1,4,1,{'totalCount': 4},{'totalCount': 3},{'totalCount': 2},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",53.48888888888889
35,MERGED,2017-03-25T22:50:04Z,2017-03-29T10:19:15Z,2017-03-29T10:19:15Z,Explain difference between PUT & PATCH,I think some developers get confused between PUT & PATCH. This Laracasts comment hopes to provide a clear distinction between the two.,1,2,0,{'totalCount': 2},{'totalCount': 2},{'totalCount': 1},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",83.48638888888888
36,MERGED,2017-03-26T16:58:09Z,2017-03-28T11:45:13Z,2017-03-28T11:45:13Z,"Update service discovery section to include consul, etcd, and additional details",,1,1,1,{'totalCount': 1},{'totalCount': 5},{'totalCount': 3},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",42.784444444444446
50,MERGED,2017-04-04T08:27:14Z,2017-04-04T09:56:39Z,2017-04-04T09:56:39Z,Change AP wording for clarity,"I think that the description for AP should be changed. It currently says that the most recent version of the data might not be the latest.
The explanation of Consistency uses the same word, recent.
I have changed AP to qualify 'recent' as being the most recent data available on the node",1,1,1,{'totalCount': 1},{'totalCount': 2},{'totalCount': 1},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",1.4902777777777778
62,MERGED,2017-04-15T07:44:20Z,2017-04-15T13:32:32Z,2017-04-15T13:32:32Z,zh-cn: Add Simplified Chinese translation v1.0,"At your request (#60), we have created a new branch to squash these commits. Now there's only one commit in the history. 😜",1,1797,0,{'totalCount': 4},{'totalCount': 2},{'totalCount': 1},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",5.803333333333334
64,MERGED,2017-04-16T03:17:12Z,2017-04-16T21:49:16Z,2017-04-16T21:49:16Z,zh-cn: Rename README-zh-Hant.md to README-zh-Hans.md,"🚚 The file name of Simplified Chinese translation is wrong, so I corrected it. (#62)",1,0,0,{'totalCount': 2},{'totalCount': 2},{'totalCount': 1},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",18.534444444444443
69,MERGED,2017-04-22T00:06:53Z,2017-05-16T04:10:52Z,2017-05-16T04:10:52Z,Fix asynchronism link in mint README,,1,1,1,{'totalCount': 1},{'totalCount': 3},{'totalCount': 2},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",580.0663888888889
74,MERGED,2017-05-02T19:28:31Z,2017-05-16T04:17:24Z,2017-05-16T04:17:24Z,Fix lowercase typo in Layer 7 load balancing title,Fixed letter case for title layer 7 load balancing,1,1,1,{'totalCount': 1},{'totalCount': 2},{'totalCount': 1},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",320.8147222222222
75,MERGED,2017-05-09T13:31:23Z,2017-05-27T00:32:45Z,2017-05-27T00:32:45Z,Fix typo,,1,1,1,{'totalCount': 1},{'totalCount': 2},{'totalCount': 1},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",419.0227777777778
78,CLOSED,2017-05-18T08:42:10Z,,2017-05-27T00:34:53Z,Add license disclaimer,this URL seems cannot visit,2,10,0,{'totalCount': 0},{'totalCount': 2},{'totalCount': 1},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",207.8786111111111
81,MERGED,2017-05-25T01:47:16Z,2017-05-27T00:31:32Z,2017-05-27T00:31:32Z,Fix #79: Inaccuracy in Twitter timeline and search example,,1,1,1,{'totalCount': 1},{'totalCount': 2},{'totalCount': 1},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",46.73777777777778
83,MERGED,2017-05-29T16:47:48Z,2017-05-30T00:55:33Z,2017-05-30T00:55:33Z,Init spot_size member in parking lot exercise,spot_size is not initialised.,1,1,1,{'totalCount': 1},{'totalCount': 2},{'totalCount': 1},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",8.129166666666666
85,MERGED,2017-06-06T15:19:52Z,2017-06-14T00:43:11Z,2017-06-14T00:43:11Z,Fix reducer argument in pastebin exercise,"This should make it clear that the code the developer writes for the reduce steps indeed gets an iterable of values, not only a single value.
That's how the luigi mapreduce framework is designed at least.",1,1,1,{'totalCount': 1},{'totalCount': 2},{'totalCount': 1},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",177.38861111111112
92,CLOSED,2017-07-10T07:25:48Z,,2017-07-18T02:13:02Z,Add Grab Engineering Blog link,"Grab is one of the largest transport companies in South-east Asia, and they handle 2.3 million rides daily. Their Engineering Blog content focuses on how they handle the scale of their business and is suitable for learning system design.",2,2,0,{'totalCount': 3},{'totalCount': 2},{'totalCount': 1},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",186.78722222222223
93,CLOSED,2017-07-11T03:27:24Z,,2018-10-28T21:25:17Z,Add automated testing,"The goal of this change is to have Travis-CI automatically run flake8 tests on every pull request. This will help contributors know if their submissions are going to break the build. To turn on this free service, you would need to do steps 1 and 2 of https://docs.travis-ci.com/user/getting-started/",1,11,0,{'totalCount': 12},{'totalCount': 4},{'totalCount': 2},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",11393.964722222223
95,MERGED,2017-07-17T14:04:37Z,2017-07-18T02:08:37Z,2017-07-18T02:08:37Z,Fix typo in denormalization section,,1,1,1,{'totalCount': 1},{'totalCount': 2},{'totalCount': 1},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",12.066666666666666
